article_id,year,month,quarter,corpus,article_type,word_count,token_count,sentence_count,avg_sentence_len,med_sentence_len,unique_word_count,ttr,root_ttr,mattr,hapax_ratio,func_word_ratio,pos_noun,pos_verb,pos_adj,pos_adv,pos_propn,flesch_reading_ease,flesch_kincaid_grade,dale_chall_readability_score,smog_index,automated_readability_index
1093246,2015,1,1,opinions,column,820,804,28,32.0,31.0,363,0.4515,12.802,0.741,0.7025,0.4502,0.20982142857142858,0.09375,0.1015625,0.056919642857142856,0.049107142857142856,37.449729064039445,14.991822660098524,11.034056157635469,16.07818468340257,16.40719512195122
1093243,2015,1,1,opinions,column,972,962,40,28.6,25.0,460,0.4782,14.831,0.7612,0.7043,0.42,0.14423076923076922,0.10314685314685315,0.08041958041958042,0.05856643356643357,0.09702797202797203,44.410509916492714,13.014800626304801,10.181152776617953,15.00968953713998,14.022314814814813
1093297,2015,1,1,news,news,204,193,10,22.7,23.0,102,0.5285,7.3421,0.5979,0.7255,0.456,0.2026431718061674,0.1013215859030837,0.02643171806167401,0.00881057268722467,0.13215859030837004,55.95878363016294,9.333497536945814,10.47811667298219,10.389873798559362,9.973868778280544
1093298,2015,1,1,news,news,229,230,8,32.62,39.5,149,0.6478,9.8248,0.7553,0.7785,0.4304,0.22988505747126436,0.10344827586206896,0.06896551724137931,0.0421455938697318,0.04980842911877394,27.052240720524054,16.597330786026202,11.744640611353713,17.410965686947208,18.962325327510918
1093300,2015,1,1,news,news,1107,1095,39,32.85,27.0,341,0.3114,10.305,0.6463,0.5191,0.505,0.1647150663544106,0.11241217798594848,0.03981264637002342,0.078064012490242,0.05932864949258392,53.57869006849316,12.586889269406395,8.959825114155251,12.899399368494294,13.986470189701897
1093310,2015,1,1,news,news,812,809,41,23.02,24.0,362,0.4475,12.7272,0.7002,0.7072,0.4227,0.1906779661016949,0.11758474576271187,0.05508474576271186,0.02754237288135593,0.09851694915254237,56.456740558292296,10.187684729064042,9.437440722495896,12.118629464883021,11.583649425287355
1093288,2015,1,1,opinions,column,1592,1592,56,33.27,32.5,621,0.3901,15.564,0.7276,0.694,0.4585,0.1701556629092861,0.07890499194847021,0.07246376811594203,0.05958132045088567,0.09071390230810521,40.3755614973262,13.414655377302434,10.434022073677957,15.088203141171437,14.660538723026903
1093287,2015,1,1,opinions,column,767,758,35,24.69,25.0,403,0.5317,14.6376,0.7904,0.7593,0.4617,0.23958333333333334,0.10532407407407407,0.0763888888888889,0.03356481481481482,0.013888888888888888,47.98904761904765,11.782804232804235,10.129409523809525,13.943154165760404,12.705971316818768
1093383,2015,1,1,news,news,831,810,34,29.18,28.0,332,0.4099,11.6653,0.6854,0.6657,0.4383,0.17641129032258066,0.09576612903225806,0.05040322580645161,0.024193548387096774,0.1159274193548387,50.15564073226548,11.67673531655225,10.97223374014747,14.094315096169485,13.281126733802012
1093285,2015,1,1,news,news,423,411,19,25.95,27.0,216,0.5255,10.6545,0.7188,0.7083,0.4404,0.17849898580121704,0.10547667342799188,0.06288032454361055,0.02231237322515213,0.09533468559837728,41.02354381103197,13.347818685669044,10.910056822380575,15.097117867076683,14.783167848699762
