year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
2015,0.11095213409011843,0.05181108324862053,0.04481724411443875,0.167966212277502,0.06710081736056896,0.01456689614052357,0.06403787166688123,0.009680875319993636,0.059863545724076525,0.06285077299598958,0.09110100405700973,0.05289511581055363,0.10919420415171702,0.0830572308194918,0.010104992222514477
2016,0.10665873996867385,0.05020206820668662,0.06627162867782563,0.15960393006503534,0.06310206174756426,0.013596246149197773,0.0836017499379586,0.011845874991705538,0.0732449536213654,0.06835786907626114,0.06412799658380691,0.05037592468836762,0.11981566706986857,0.05935056284625489,0.009844726369427763
2017,0.09722193610796885,0.04747599833479631,0.0674190923270198,0.17021916759352115,0.06453693443634513,0.011946134467086415,0.07599568966738708,0.011894946008746871,0.06682299887620773,0.07287942861198106,0.07694067664677796,0.0661741788672926,0.10785476836655197,0.05382704946254342,0.00879100022577365
2018,0.08979396662573264,0.053606602075939244,0.07136287676119345,0.13206124279906736,0.055855814129465144,0.014784816889970132,0.0810527274864954,0.010636805608260988,0.07713299834288123,0.09198609883894793,0.0794757103349002,0.07978359763914739,0.10308453981633736,0.04774711677333628,0.01163508587832524
2019,0.06628906296517786,0.05423373434020694,0.06808990016625498,0.10913927127241138,0.0650556789274885,0.018087054367852573,0.0661092906146201,0.011450959984086753,0.0785871263773998,0.1215954012632537,0.07304816446394298,0.09903047298616778,0.09457597970699548,0.05471550789944015,0.01999239466470107
2020,0.06352418901155936,0.033621613752819565,0.05752184838514772,0.06545722622968948,0.07540045499289404,0.12176385496124237,0.06490971352302385,0.12984792495222716,0.04517861689783629,0.06941039208365932,0.04971156825675631,0.09323256469500811,0.07916782559680141,0.035173541457271626,0.016078665204063477
2021,0.06624969594097853,0.03330895404491581,0.07319973212018681,0.06085116151685253,0.057270896753179056,0.16226397716751376,0.04435582150064843,0.094063381073513,0.042236569709990186,0.05092760189644404,0.060207161262491676,0.09960133787551789,0.08399033582380663,0.042952118363556134,0.02852125495040524
2022,0.08295192531161263,0.03698503168315589,0.0658998223341993,0.06665048505665938,0.056369781255873094,0.10387432306788494,0.06728105926212169,0.012925627304463073,0.056980862624961534,0.0658398906415925,0.07099135787816564,0.09456058498973965,0.08882304433093643,0.07521297331713815,0.054653230941495885
2023,0.07510626463802031,0.02945144144810076,0.10474690429082205,0.06267984619715969,0.0656308206025412,0.031002474826422294,0.04550479755881057,0.009030605291106785,0.05190672605333289,0.0646481859173277,0.13386433075631954,0.0802670467923848,0.10099254806122339,0.06436799005882454,0.08080001750760339
2024,0.07222035372451298,0.017344333762987097,0.09336701171234742,0.04777334087559825,0.06252217938289312,0.024170439467469204,0.08545198009106326,0.006444495841424126,0.04205596913247997,0.07586781899178044,0.1653679405970801,0.051705500909308186,0.0966015683006491,0.059875656083338134,0.09923141112706861
2025,0.09082299339423529,0.010915938800738616,0.0778920119536355,0.07239314870534944,0.069454660026724,0.02050786950586832,0.09995227656047834,0.007843484238614775,0.03466679802854446,0.06146544798840546,0.1335286425081313,0.06533067833547702,0.11715253311537699,0.04874182098460145,0.08933169585381903
2026,0.07871262589778091,0.01661363678420413,0.08517693727367563,0.07968316662335655,0.08222658834632136,0.01728089808929159,0.07703961208995692,0.009556492185426016,0.04979152717497123,0.07464704048944197,0.1116307326525231,0.05905931762286505,0.12109686971107979,0.05185822602501192,0.08562632903409378
