article_id,year,corpus,article_type
1096438,2015,opinions,column
1096440,2015,opinions,column
1096462,2015,news,news
1096460,2015,news,news
1096439,2015,opinions,column
1096538,2015,news,news
1096526,2015,news,news
1096529,2015,news,news
1096518,2015,news,news
1096540,2015,opinions,column
1096541,2015,opinions,column
1096542,2015,opinions,op-ed
1096625,2015,news,news
1096617,2015,news,news
1096629,2015,news,news
1096618,2015,news,news
1096600,2015,news,news
1096641,2015,opinions,column
1096590,2015,news,news
1096653,2015,news,news
1096627,2015,opinions,op-ed
1096556,2015,opinions,editorial
1096628,2015,opinions,column
1096614,2015,opinions,op-ed
1096612,2015,opinions,column
1096609,2015,news,news
1096729,2015,news,news
1096815,2015,news,news
1096752,2015,news,news
1096742,2015,news,news
1096731,2015,news,news
1096747,2015,opinions,column
1096754,2015,opinions,column
1096749,2015,opinions,op-ed
1096764,2015,opinions,column
1096734,2015,opinions,op-ed
1096874,2015,opinions,column
1096867,2015,opinions,column
1096872,2015,news,news
1096871,2015,news,news
1096863,2015,news,news
1096862,2015,news,news
1096859,2015,news,news
1096946,2015,news,news
1096934,2015,opinions,column
1096932,2015,opinions,column
1096933,2015,opinions,column
1096942,2015,news,news
1096962,2015,news,news
1096941,2015,news,news
1096947,2015,news,news
1097015,2015,news,news
1097012,2015,news,news
1097011,2015,news,news
1097021,2015,news,news
1097074,2015,news,news
1097038,2015,opinions,editorial
1097016,2015,opinions,column
1097014,2015,opinions,column
1097029,2015,opinions,column
1097001,2015,news,news
1097107,2015,opinions,column
1097109,2015,opinions,opinion
1097106,2015,opinions,column
1097120,2015,news,news
1097121,2015,news,news
1097125,2015,news,news
1097129,2015,news,news
1097335,2015,news,news
1097356,2015,opinions,column
1097358,2015,opinions,opinion
1097360,2015,opinions,column
1097271,2015,news,news
1097266,2015,news,news
1097288,2015,news,news
1097509,2015,opinions,opinion
1097388,2015,opinions,op-ed
1097389,2015,opinions,column
1097366,2015,opinions,column
1097392,2015,news,news
1097348,2015,news,news
1097478,2015,news,news
1097485,2015,news,news
1097331,2015,news,news
1097482,2015,news,news
1097521,2015,news,news
1097600,2015,opinions,op-ed
1097631,2015,opinions,op-ed
1097629,2015,opinions,editorial
1097592,2015,news,news
1097590,2015,news,news
1097596,2015,news,news
1097588,2015,news,news
1097603,2015,news,news
1097623,2015,news,news
1097687,2015,news,news
1097679,2015,news,news
1097678,2015,news,news
1097792,2015,news,news
1097793,2015,news,news
1097812,2015,news,news
1097830,2015,opinions,column
1097833,2015,opinions,column
1097831,2015,opinions,column
1097816,2015,news,news
1097822,2015,news,news
1097836,2015,news,news
1097929,2015,opinions,column
1097919,2015,opinions,column
1097918,2015,opinions,op-ed
